date,temperature,precipitation,wind,trip_count
2022-06-12,20.5,20,42,90122
2022-07-19,28.2,0,56,119421
2022-01-20,5.1,64,54,33772
2022-08-17,23.6,79,30,120309
2022-08-18,24.1,0,34,121752
2022-07-04,25.6,0,28,94246
2022-12-17,5.0,0,67,59161
2022-11-05,19.4,0,47,121749
2022-03-26,10.4,10,55,62072
2022-05-01,13.6,0,38,94530
2022-08-13,23.1,0,40,131501
2022-10-21,13.4,0,24,108494
2022-02-24,1.1,0,48,44653
2022-04-12,13.4,10,33,93461
2022-04-15,15.7,0,55,99463
2022-11-22,6.6,0,40,73828
2022-04-26,11.5,13,38,74907
2022-07-20,31.3,0,37,117467
2022-07-21,29.8,145,47,108865
2022-12-28,3.4,0,34,43873
2022-01-11,-5.4,0,64,26418
2022-01-14,4.8,0,76,45403
2022-08-19,26.3,0,36,120539
2022-06-10,21.8,0,44,122296
2022-05-24,17.4,0,51,104778
2022-05-26,16.4,0,45,110934
2022-07-28,26.7,20,43,117206
2022-07-29,28.2,5,35,114235
2022-08-31,25.6,0,53,123031
2022-09-23,15.1,0,88,113033
2022-05-12,17.1,0,42,110748
2022-08-16,23.6,0,38,122146
2022-02-04,5.8,188,53,20236
2022-02-05,-2.8,0,79,29578
2022-09-24,14.5,0,43,112846
2022-09-25,19.2,198,43,86541
2022-04-03,7.0,23,40,37108
2022-04-04,7.6,0,54,68863
2022-11-17,5.7,0,70,78202
2022-12-30,9.3,0,25,62106
2022-01-12,-1.9,0,44,40058
2022-10-08,13.9,5,48,100499
2022-06-08,23.7,0,41,123730
2022-07-10,23.4,0,47,115270
2022-05-28,20.4,69,35,82393
2022-11-06,19.8,3,35,102629
2022-03-18,13.9,0,34,92687
2022-03-05,3.1,0,30,51274
2022-09-01,25.9,0,58,121193
2022-10-24,14.1,117,59,66073
2022-02-16,1.6,0,45,53655
2022-09-27,19.7,0,43,116393
2022-04-07,9.1,246,75,35293
2022-05-23,21.0,0,50,101409
2022-07-12,25.8,0,55,111545
2022-01-13,4.0,0,26,50364
2022-01-19,3.2,0,47,53858
2022-01-22,-5.9,0,34,31820
2022-01-25,3.6,0,47,50622
2022-01-30,-7.1,0,61,9383
2022-10-04,10.3,450,70,51880
2022-06-04,21.9,0,30,127286
2022-06-11,21.8,58,35,115340
2022-08-01,23.1,104,31,97836
2022-12-09,5.3,0,50,76623
2022-11-04,15.2,0,27,118560
2022-11-09,8.7,0,33,95277
2022-03-28,-1.5,0,99,38104
2022-09-03,22.8,0,31,107470
2022-09-06,23.3,295,38,40639
2022-09-12,22.4,236,30,114995
2022-09-14,22.9,0,52,134851
2022-05-04,12.0,30,27,79556
2022-08-09,31.3,13,40,108816
2022-02-19,0.1,0,76,32400
2022-02-21,4.1,0,34,52321
2022-06-25,25.8,0,32,118171
2022-05-20,15.4,112,37,85051
2022-04-25,10.4,0,42,72615
2022-06-15,23.3,0,44,127694
2022-06-19,17.3,0,72,105413
2022-01-02,11.4,10,43,42203
2022-01-05,3.2,61,34,33689
2022-01-08,-2.5,0,48,23866
2022-10-11,17.0,0,25,111876
2022-05-25,16.2,0,36,114028
2022-05-27,20.2,41,44,89034
2022-06-01,17.8,213,51,87980
2022-12-05,5.4,0,24,73746
2022-12-14,1.7,0,60,67233
2022-03-20,14.3,0,73,65325
2022-03-23,7.2,28,52,60816
2022-03-30,2.6,0,39,61221
2022-08-28,24.6,0,47,107583
2022-09-08,21.8,0,35,134364
2022-05-05,17.2,0,41,110224
2022-05-10,15.4,0,64,104522
2022-02-08,4.1,20,57,51811
2022-10-02,15.2,18,102,51482
2022-06-28,22.4,0,35,121083
2022-11-20,2.7,0,82,44857
2022-11-29,5.4,0,27,75269
2022-11-30,8.4,109,65,54587
2022-05-18,17.8,0,49,117463
2022-05-22,27.8,0,38,103359
2022-06-21,22.1,23,27,99230
2022-07-17,25.7,0,32,110686
2022-02-01,-1.7,0,34,29239
2022-08-25,28.1,0,33,119895
2022-10-06,17.6,0,17,123660
2022-10-10,15.8,0,33,95962
2022-10-14,15.7,51,37,114710
2022-10-15,16.2,0,36,117754
2022-05-30,23.3,0,36,100563
2022-07-31,26.3,0,34,112248
2022-12-16,6.2,137,91,28332
2022-11-15,4.9,124,56,64299
2022-03-01,2.6,0,42,55990
2022-03-07,18.2,13,62,67822
2022-11-03,15.7,0,23,116585
2022-02-10,6.3,0,44,61783
2022-04-08,12.8,10,47,88109
2022-04-10,8.6,0,79,57076
2022-06-26,27.0,0,40,105742
2022-06-16,20.3,71,55,101838
2022-06-20,20.5,0,40,113963
2022-07-14,26.6,0,34,120218
2022-12-27,-0.7,0,44,32936
2022-01-18,1.8,0,84,42800
2022-08-02,26.4,0,36,120609
2022-12-10,2.2,0,47,63227
2022-11-12,19.7,23,55,113412
2022-11-13,12.9,5,69,69077
2022-07-25,29.8,193,47,96140
2022-07-26,25.9,0,34,122197
2022-03-13,-2.3,0,73,30783
2022-10-27,16.9,0,62,115452
2022-10-20,11.1,0,55,104238
2022-02-12,11.8,0,59,68357
2022-02-13,2.8,48,47,20331
2022-02-15,-4.7,0,49,40484
2022-04-06,8.6,91,69,48409
2022-11-16,7.3,51,76,76773
2022-05-14,17.9,71,29,79693
2022-04-22,14.6,0,48,97387
2022-04-28,8.2,0,93,78469
2022-07-13,28.9,0,35,120573
2022-12-24,-11.7,0,88,11408
2022-01-07,0.7,84,83,17022
