GeoID,Borough,population,median_hh_income
BK0101,Greenpoint,38980,125469.0
BK0102,Williamsburg,64444,129838.0
BK0103,South Williamsburg,47703,36951.0
BK0104,East Williamsburg,52998,71107.0
BK0201,Brooklyn Heights,25092,179877.0
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,40968,149181.0
BK0203,Fort Greene,32938,107633.0
BK0204,Clinton Hill,28647,115160.0
BK0301,Bedford-Stuyvesant (West),89189,76660.0
BK0302,Bedford-Stuyvesant (East),84653,69954.0
BK0401,Bushwick (West),58692,87122.0
BK0402,Bushwick (East),62049,69355.0
BK0501,Cypress Hills,43256,63193.0
BK0502,East New York (North),42818,54158.0
BK0503,East New York-New Lots,53004,52754.0
BK0504,Spring Creek-Starrett City,17038,39279.0
BK0505,East New York-City Line,45559,44086.0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,59166,129891.0
BK0602,Park Slope,57405,192130.0
BK0701,Windsor Terrace-South Slope,23622,134366.0
BK0702,Sunset Park (West),54473,79785.0
BK0703,Sunset Park (Central),55606,60772.0
BK0801,Prospect Heights,23515,146258.0
BK0802,Crown Heights (North),85275,68518.0
BK0901,Crown Heights (South),50590,70764.0
BK0902,Prospect Lefferts Gardens-Wingate,49513,71973.0
BK1001,Bay Ridge,86779,88926.0
BK1002,Dyker Heights,46756,74015.0
BK1101,Bensonhurst,104934,63535.0
BK1102,Bath Beach,33070,67562.0
BK1103,Gravesend (West),60523,65734.0
BK1201,Sunset Park (East)-Borough Park (West),35632,54184.0
BK1202,Borough Park,93905,51065.0
BK1203,Kensington,41758,81544.0
BK1204,Mapleton-Midwood (West),39137,71866.0
BK1301,Gravesend (South),30366,56489.0
BK1302,Coney Island-Sea Gate,49517,39795.0
BK1303,Brighton Beach,33568,45885.0
BK1401,Flatbush,66503,77226.0
BK1402,Flatbush (West)-Ditmas Park-Parkville,43016,81851.0
BK1403,Midwood,52891,67907.0
BK1501,Gravesend (East)-Homecrest,52797,69401.0
BK1502,Madison,41465,74473.0
