station_name,lat,lng,no_return_pc,daily_deps,daily_arrs
1 Ave & E 110 St,40.7923272,-73.9383,-0.7,58.8,59.2
1 Ave & E 16 St,40.73221853,-73.98165557,1.3,184.2,181.9
1 Ave & E 18 St,40.73381219196632,-73.98054420948029,0.4,193.8,193.1
1 Ave & E 30 St,40.74144387,-73.97536082,-1.4,124.2,126.0
1 Ave & E 39 St,40.74714,-73.97113,-0.8,143.3,144.4
1 Ave & E 44 St,40.75001986,-73.96905301,-0.4,84.2,84.5
1 Ave & E 6 St,40.72633085971696,-73.98616880178452,0.1,163.3,163.2
1 Ave & E 62 St,40.7612274,-73.96094022,-0.6,186.6,187.8
1 Ave & E 68 St,40.76500525,-73.95818491,-0.4,286.8,288.0
1 Ave & E 78 St,40.77140426,-73.9535166,-0.2,191.5,191.9
1 Ave & E 94 St,40.7817212,-73.94594,-0.2,53.9,54.0
1 Pl & Clinton St,40.6809591,-73.99905709,-0.4,38.6,38.8
1 St & 6 Ave,40.672784,-73.979826,0.6,34.2,34.0
10 Ave & W 14 St,40.74198159994023,-74.00831580162048,-1.1,202.4,204.7
10 Ave & W 202 St,40.861281970750994,-73.921417593956,-10.3,2.4,2.6
10 Ave & W 204 St,40.862638,-73.92006,-16.4,2.9,3.4
10 Ave & W 207 St,40.864632,-73.918598,-3.6,7.9,8.2
10 Ave & W 215 St,40.86932465640094,-73.91519755125046,-1.2,4.0,4.1
10 Ave & W 28 St,40.75066386,-74.00176802,-2.2,183.2,187.2
10 St & 2 Ave,40.671907,-73.993612,-3.9,18.9,19.7
10 St & 5 Ave,40.6686273,-73.98700053,-0.5,34.1,34.2
10 St & 7 Ave,40.6662078,-73.98199886,-0.1,61.8,61.9
11 Ave & Prospect Ave,40.65629,-73.977335,-0.6,24.1,24.2
11 Ave & W 27 St,40.751396,-74.005226,-0.5,158.8,159.6
11 Ave & W 41 St,40.76030096,-73.99884222,-0.1,239.6,239.8
11 Ave & W 59 St,40.77149671054441,-73.99046033620834,0.3,128.6,128.1
11 St & 43 Ave,40.7519071,-73.9479119,-4.7,13.6,14.2
11 St & Washington St,40.74998490907138,-74.02715027332306,,0.0,0.1
12 Ave & 36 St,40.643546,-73.986418,-6.1,8.3,8.8
12 Ave & W 125 St,40.818299,-73.960405,-1.0,65.6,66.2
12 Ave & W 40 St,40.76087502,-74.00277668,-2.1,247.2,252.5
12 St & 4 Ave,40.668603,-73.9904394,-1.5,28.5,28.9
12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,,0.0,0.4
14 St & 5 Ave,40.666287,-73.98895053,-0.3,44.5,44.6
14 St & 7 Ave,40.663779,-73.98396846,0.3,46.9,46.8
14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,,0.0,0.6
16th St & 4th Ave,40.666197,-73.992466,-2.9,16.1,16.6
17 St & 5 Ave,40.663493,-73.991007,-0.7,33.5,33.8
18 St & 27 Ave,40.772768286288304,-73.92743647098541,0.6,25.7,25.6
19 St & 24 Ave,40.7774552,-73.9225403,-0.4,27.2,27.3
19 St & 8 Ave,40.658489,-73.985543,21.2,6.9,5.5
2 Av & 37 St,40.656326,-74.009627,-27.9,3.0,3.8
2 Ave & 32 St,40.659176,-74.006584,-12.8,4.6,5.2
2 Ave & 36 St,40.65708866668485,-74.00870203971863,-13.2,10.0,11.3
2 Ave & 39 St,40.655722167971554,-74.01000827550888,-17.2,1.2,1.4
2 Ave & 43 St,40.65292829363811,-74.01286482810974,-62.5,0.1,0.1
2 Ave & 44 St,40.65230357303063,-74.01344954967499,-7.1,0.1,0.1
2 Ave & E 104 St,40.7892105,-73.94370784,-0.0,44.8,44.8
2 Ave & E 122 St,40.8006721,-73.9349,-0.8,25.8,26.0
2 Ave & E 125 St,40.802554,-73.933509,-1.1,27.7,28.0
2 Ave & E 29 St,40.74172351097472,-73.97809267044067,3.2,185.8,179.8
2 Ave & E 31 St,40.74290902,-73.97706058,-1.0,161.7,163.3
2 Ave & E 55 St,40.757920208794026,-73.96638214588165,5.0,60.1,57.1
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,0.2,163.9,163.5
2 Ave & E 96 St,40.7839636,-73.9471673,-0.9,93.3,94.2
2 Ave & E 99 St,40.7862586,-73.94552579,-0.6,41.9,42.1
20 Ave & 21 St,40.784003,-73.912297,-0.3,6.1,6.1
20 Ave & 31 St,40.78001336610564,-73.90667617321014,-0.8,5.3,5.3
20 Ave & 33 St,40.779399,-73.905708,-2.7,0.7,0.7
20 Ave & 38 St,40.777112,-73.902382,-0.3,17.7,17.7
20 Ave & 42 St,40.775415,-73.900063,-1.2,6.5,6.6
20 Ave & 48 St,40.772899,-73.896849,-1.3,6.0,6.1
20 Ave & Shore Blvd,40.785994,-73.915098,-4.0,5.1,5.3
21 Ave & 80 St,40.770888,-73.889914,-1.1,4.6,4.6
21 Ave & Crescent St,40.780478,-73.912212,-0.7,25.6,25.8
21 Ave & Shore Blvd,40.783956,-73.916894,-0.6,11.7,11.8
21 St & 21 Ave,40.782465,-73.914527,-0.6,14.6,14.7
21 St & 23 Ave,40.778557,-73.919046,-0.2,9.7,9.8
21 St & 31 Dr,40.7659,-73.930819,-0.7,24.9,25.1
21 St & 36 Ave,40.7601853,-73.9362726,-0.2,11.7,11.7
21 St & 38 Ave,40.7576314,-73.9391224,1.5,8.0,7.9
21 St & 4 Ave,40.662584,-73.995554,-0.8,22.3,22.5
21 St & 43 Ave,40.75052534,-73.94594845,-0.6,18.9,19.0
21 St & Hoyt Ave S,40.774645,-73.923706,-5.8,29.8,31.6
21 St & Queens Plaza North,40.75325964,-73.94335788,-0.1,36.5,36.6
23 Ave & 27 St,40.776165,-73.9153175,-0.2,16.9,16.9
23 Rd & 31 St,40.77336750284339,-73.91382560133934,-1.3,7.4,7.5
23 St & 3 Ave,40.662611,-73.998623,-18.5,3.3,3.9
24 Ave & 26 St,40.774591,-73.918544,-0.4,19.5,19.6
24 Ave & 29 St,40.7729,-73.916142,0.8,20.1,19.9
24 St & 38 Ave,40.756351,-73.936515,-0.6,17.9,18.0
24 St & 41 Ave,40.752474,-73.939991,1.2,25.1,24.8
24 St & 5 Ave,40.659555,-73.995068,-0.6,17.1,17.2
25 Ave & 41 St,40.767666,-73.910963,2.5,26.1,25.4
27 Ave & 3 St,40.77485,-73.9342,-0.2,9.0,9.0
27 Ave & 9 St,40.7739825,-73.9309134,1.3,18.4,18.2
27 St & Hunter St,40.7485,-73.941275,-0.3,48.7,48.9
